name,colour
Actors & Characters,#f7e860
Environment & FX,#ADE8F4
Plot & Theme,#0077B6
Literary,#03045E
Narration & Sound Design,#4cc9f0
Music,#c4700a
Television,#6f1d1b
Sports & Competition,#FFA200
Sci-fi / Fantasy / Cartoons,#0B5256
Fear & Suspense,#007f5f
Sex Related,#ebc34d
Violence,#2AB150
Crime Drama,#16db93
Action & Martial Arts,#D9ED92
Period Genres,#99D98C
Review Related,#590D22
Critical Praise,#023E8A
Bad / Boring / Failure,#C9184A
Writing/Directing,#71188A
Comedy,#FF758F
General,#272640
Verbs,#000000
Miscellaneous,#a89d9d
