,mentions,log2_mentions,avg_tfidf
movie,58400,15.833680748654741,0.0415794543571121
film,44064,15.427312844134963,0.049527351105397105
s,30106,14.877763418282559,0.03540084931165246
like,19436,14.246443717117286,0.03458062670903868
good,17729,14.113823543212584,0.037080859925444944
time,13076,13.674633661767267,0.03769083694150722
character,12687,13.631063345749958,0.05052494682787683
watch,13739,13.745989380245254,0.04619698125449518
bad,21266,14.376261076559688,0.049951408608215404
see,11138,13.443202577297011,0.0429687914234362
story,10349,13.337203749714552,0.05533437544301098
person,11241,13.45648276305027,0.05073833502658539
think,11094,13.437492010125352,0.043254181961526944
great,5582,12.446566409066067,0.055138447567477766
know,9619,13.231671202562785,0.043922077048808794
scene,9762,13.252961036393684,0.053762317599265835
way,8368,13.030667136246942,0.04258866080815003
end,8776,13.099347810403193,0.04932797617035276
go,9145,13.158767454636079,0.041228230304080134
play,6951,12.763004829585977,0.052797894300962225
look,8458,13.046100845028802,0.046320487882739944
thing,9417,13.201051814303272,0.04403127391018906
find,7236,12.82097669262124,0.04592971285106452
come,7596,12.891024190149498,0.04059124934146671
love,4822,12.235415935602527,0.06325107482932084
act,8469,13.047975914170848,0.04492311442483342
man,6013,12.553869243196068,0.06250448487783866
well,7482,12.869208250550827,0.04715055274831991
get,7082,12.789941128390916,0.04461837106410234
make,6156,12.58777751632821,0.045295175555640374
life,4719,12.204265456136843,0.05907354960304704
want,6985,12.770044400296825,0.04789711649287844
actor,6791,12.729408316984019,0.05530261153488616
work,5683,12.472437000051329,0.04985022484016911
plot,7360,12.845490050944376,0.049787120623415504
try,6913,12.75509621030718,0.04681796933332308
little,5383,12.39419471001943,0.0505344155676286
give,4859,12.246443717117286,0.04851797055310823
feel,4099,12.001056274634779,0.06174019549073837
lot,4536,12.147204924942228,0.0563862993205255
show,3687,11.848231701093818,0.05817703249557252
director,4789,12.225508720236,0.057287528600415506
take,4069,11.99045856507371,0.047293247470836186
funny,4535,12.146886835415884,0.08916271293506865
actually,5082,12.311180660053354,0.05416369658484934
guy,5623,12.457124331540804,0.07488328490112785
performance,2933,11.518161355756956,0.06712397407954322
say,4618,12.173052457774116,0.053194132323693466
woman,4144,12.016808287686555,0.08224852618868435
year,2979,11.54061240824953,0.059594972972001836
real,3673,11.842743180731658,0.059672103705424084
leave,3933,11.941414470942911,0.05376651603162747
