,mentions,log2_mentions,avg_tfidf
movie,44772,15.450309145537936,0.054308190396932764
film,49747,15.602321905896732,0.047765170952991896
s,38565,15.235004490442174,0.033187759382183026
like,20000,14.287712379549449,0.03588053376071054
good,20911,14.351974435285848,0.03488574297060222
time,15125,13.884647521936682,0.03702299906642473
character,12762,13.639566818681828,0.0467418358213624
watch,11688,13.512740462803498,0.05244251105315788
bad,4039,11.979782430703086,0.0665129628092315
see,12116,13.564625862795372,0.04144566117122567
story,12718,13.6345841934937,0.04870807015152472
person,10294,13.329516067206534,0.052648809303914156
think,10437,13.349419464341047,0.050642598534618596
great,13714,13.743361806865865,0.04742734098143034
know,9303,13.183480311333778,0.04337827581652003
scene,8946,13.127027043004599,0.05285511330748546
way,8837,13.109340968793223,0.04067124402165456
end,8312,13.020979938904212,0.046154259342609964
go,7612,12.894059846274022,0.04151795260317538
play,9691,13.24242982755771,0.049382442389775245
look,7834,12.935533412950747,0.045386272120609444
thing,6840,12.73978060977326,0.04926467620417984
find,8506,13.054265139625764,0.0447145793817169
come,7857,12.939762845071753,0.0398677199618951
love,10525,13.36153261284112,0.06225448713455128
act,5716,12.480790201095816,0.04976927461543095
man,7823,12.933506249629444,0.05487377229701008
well,6257,12.611255388699337,0.049319987892936665
get,6262,12.61240779313867,0.04530355739734639
make,6909,12.754261196514001,0.04218659666003615
life,8220,13.004922678569045,0.05725281943371448
want,5715,12.480537783101841,0.05260521715660293
actor,5891,12.524296837662625,0.05632491365322046
work,6877,12.747563630255119,0.04627553724392337
plot,4455,12.121209716409284,0.05945532942070977
try,4579,12.160816849673546,0.04951532084712029
little,5751,12.489597122389307,0.05142981037636766
give,5334,12.381002109550925,0.04476977822070891
feel,5886,12.523071826940395,0.05919348094879911
lot,4853,12.244661144764198,0.05725028305016795
show,5375,12.392049039364185,0.05570660423919972
director,4205,12.037890085142507,0.05270161719204821
take,4658,12.185494924210866,0.04353610894765802
funny,4130,12.011926066306808,0.08135364664918208
actually,3384,11.72451385311995,0.056121837757465584
guy,2832,11.467605550082997,0.08825993742878518
performance,5512,12.428360172704291,0.05284235886569559
say,3614,11.8193807908646,0.05310776179858523
woman,4014,11.970824901362617,0.07405626538395678
year,5107,12.318260343712415,0.05017055101797406
real,4267,12.059006395201111,0.058370555086358175
leave,3870,11.918117851031772,0.050314898943019895
start,3315,11.69479315499995,0.05618253297623651
role,4503,12.136670762341845,0.05972328406915398
tell,3525,11.783407542173519,0.05408456423227503
turn,3511,11.777666280880755,0.0483716720512854
point,2954,11.52845411076479,0.05311749955494655
long,3330,11.701306461958625,0.05104335109700316
set,3668,11.840777923595054,0.04798301037067851
day,4046,11.982280604558284,0.05504034107916492
fact,3253,11.667555107041132,0.05220890221870434
minute,2044,10.997179480937621,0.0689278594839239
world,4431,12.113416611485945,0.06436745754460303
kill,2583,11.334831928118,0.07018832702133011
star,3607,11.81658370778757,0.058368209079431604
girl,3150,11.621136113274641,0.08525898801369915
happen,2932,11.517669388133811,0.061603689205436504
big,3307,11.691307330191115,0.05889113042032628
need,3087,11.591989767615125,0.05874822031862624
old,3379,11.722380635163802,0.0609842663481013
cast,3405,11.733439082899434,0.055865207878119966
friend,3587,11.808562029957525,0.06304739932756677
right,3315,11.69479315499995,0.05361223568819107
horror,2798,11.450180247164754,0.1214134718516489
pretty,2278,11.153552031708111,0.06594669603525663
comedy,3415,11.737669863177453,0.08731317426966727
mean,2620,11.355351096424812,0.058742716287048316
original,2667,11.381002109550925,0.07799544529579452
new,3545,11.791569912126878,0.05974715620152081
script,1975,10.947636937951827,0.06621017074520044
enjoy,4018,11.972261848733291,0.06673250688560392
live,3742,11.869593843240784,0.056338974951180655
family,3842,11.907641803665527,0.08778613433054036
kid,2776,11.43879185257826,0.1137057893665936
interesting,2820,11.461479447286155,0.06260629072766011
kind,2685,11.390706372872774,0.061001766547864336
young,3666,11.839991070539886,0.0577362442263071
write,2659,11.376668061857668,0.06122320584909723
bit,3207,11.647008638441648,0.05988748928160701
music,3513,11.778487861222372,0.08064455186053872
action,3115,11.605016447911364,0.086210608148723
fan,3120,11.60733031374961,0.06831778755905613
believe,2547,11.314583244274194,0.06227346298887304
probably,2676,11.38586240064146,0.05862370325580749
child,3085,11.591054774036781,0.09838427444270695
reason,2035,10.99081307915361,0.05913313136618822
begin,2897,11.500343969270403,0.05238753779927591
