index,word,x,y,cluster,remove
3596,write_script,-1.1632041,10.141245,55,
745,writing,-1.1942227,10.141169,55,
87,write,-1.1105894,10.110171,55,
79,script,-1.3310614,10.094605,55,
664,screenplay,-1.2811614,10.092384,55,
3956,rewrite,-1.2748663,10.081878,55,
245,direction,-1.3035536,10.031212,55,
289,writer,-0.9911131,10.002918,55,
1485,satire,-2.1214802,9.91892,22,
75,comedy,-2.112907,9.890951,22,
1231,parody,-2.0692456,9.879134,22,
1798,screenwriter,-1.0107845,9.875653,55,
1454,spoof,-2.0721514,9.873064,22,
3136,director_writer,-1.0094104,9.865991,55,
1637,comedian,-2.0085614,9.864191,22,
3486,cast_crew,-0.97319317,9.860765,55,
891,humour,-2.1236007,9.859807,22,
710,comic,-2.0503259,9.858518,22,
313,humor,-2.1854718,9.854865,22,
2748,farce,-2.0627482,9.852206,22,
1895,slapstick,-2.1716468,9.850289,22,
2997,skit,-2.1424985,9.846868,22,
1235,writer_director,-0.997672,9.844409,55,
2667,stooge,-2.107578,9.843595,22,
2465,write_direct,-0.9749425,9.8428545,55,
934,solid,-0.22793424,9.83652,18,
3551,woody_allen,-1.9970547,9.832605,22,
2901,sketch,-2.0747025,9.829135,22,
2895,antic,-2.2264864,9.825787,22,
1614,routine,-2.2629354,9.813285,22,
1289,comedic,-2.0827444,9.811936,22,
1015,gag,-2.2114506,9.8069515,22,
1919,notch,-0.20582053,9.800712,18,
149,direct,-0.96743155,9.799065,55,
2099,lynch,-1.0418209,9.794229,55,
410,deliver,-0.24472846,9.779754,18,
2737,kudo,-0.16082554,9.77871,18,
3968,deserve_well,-0.13802893,9.777636,18,
2377,exceptional,-0.13150889,9.771784,18,
962,terrific,-0.17054513,9.771466,18,
244,fine,-0.18728475,9.767105,18,
1059,shine,-0.07148189,9.765634,18,
156,excellent,-0.12068235,9.752556,18,
2708,sense_humor,-2.2113402,9.749772,22,
4007,surprisingly_good,-0.29982993,9.748555,18,
2520,competent,-0.2625188,9.744984,18,
1123,outstanding,-0.08799445,9.7388525,18,
41,director,-1.0088279,9.738651,55,
1206,funniest,-2.0349538,9.733232,22,
3617,directorial,-1.0198586,9.725067,55,
199,joke,-2.280505,9.720663,22,
723,superb,-0.08265643,9.71516,18,
415,credit,-1.0282876,9.706364,55,
1648,liner,-2.3346388,9.706145,22,
3988,act_superb,-0.05071532,9.701677,18,
2868,hysterical,-2.1069436,9.699337,22,
383,hilarious,-2.0955927,9.697757,22,
3969,laugh_hard,-2.0054562,9.696602,22,
1120,wise,-0.24127062,9.694223,18,
43,funny,-2.0997398,9.694056,22,
2303,fabulous,-0.013078693,9.693024,18,
3185,cinematographer,-0.8574927,9.690007,55,
214,perfect,-0.14414442,9.686146,18,
3328,boast,-0.16553272,9.678873,18,
3745,riot,-2.0818052,9.67508,22,
2934,flawless,-0.09643561,9.673484,18,
3548,priceless,-2.1745276,9.667752,22,
3159,tarantino,-1.2091681,9.666226,55,
2085,laugh_loud,-1.9946667,9.655456,22,
2468,marvelous,0.08234985,9.651237,18,
3878,standout,-0.17803137,9.648221,18,
2501,take_seriously,-2.1894488,9.64519,22,
105,line,-2.4577062,9.6438675,22,
204,wonderful,-0.041588366,9.633357,18,
102,laugh,-1.952168,9.629155,22,
3266,welle,-1.1498818,9.619714,55,
564,fantastic,-0.059084356,9.613722,18,
2408,editor,-1.0203339,9.603502,55,
394,dialog,-2.5764508,9.596204,22,
190,dialogue,-2.5730793,9.595062,22,
3198,funny_moment,-2.0909834,9.587269,22,
3681,timing,-2.4119487,9.586595,22,
2717,homage,-1.3998044,9.572075,22,
2124,delivery,-2.583063,9.572014,22,
2844,superbly,0.05398692,9.5625305,18,
2570,chuckle,-1.8365241,9.560822,22,
3685,giggle,-1.8024586,9.539679,22,
826,awesome,0.012574365,9.533533,18,
3026,up,-2.568457,9.529716,22,
1773,romantic_comedy,-2.033103,9.524839,22,
3048,burst,-1.7395241,9.5243,22,
1982,chaplin,-1.7375845,9.520601,22,
315,brilliant,0.014585593,9.520479,18,
3418,masterful,0.04754853,9.519701,18,
1615,laughter,-1.78351,9.515864,22,
2688,fall_flat,-2.2470663,9.515324,22,
3286,splendid,0.19330327,9.496049,18,
1655,brilliantly,-0.09218386,9.487378,18,
840,impressive,0.159461,9.48318,18,
1781,creator,0.11802568,9.470861,18,
2457,perfection,-0.07428745,9.462743,18,
297,amazing,0.026566824,9.462306,18,
3873,cassavete,-0.7185428,9.421185,28,
13,great,-0.15524104,9.410961,18,
1524,spectacular,0.25290516,9.392763,18,
709,perfectly,-0.23404767,9.391867,18,
752,incredible,0.14361623,9.381484,18,
2965,fail_miserably,-2.1309452,9.375553,22,
3946,sublime,0.26796693,9.369703,18,
1958,try_hard,-2.112305,9.36482,22,
1460,magnificent,0.3089959,9.360731,18,
897,genius,0.11294789,9.357329,18,
2613,filming,-1.0464524,9.343857,28,
3516,stilte,-2.727012,9.342053,38,
3325,consistently,-2.5235116,9.328704,38,
904,amusing,-2.149727,9.327293,22,
3928,astonishing,0.36007112,9.3254175,18,
